review_id,user_id,business_id,stars_review,useful,funny,cool,text,date,name,city,state,stars_business,review_count,categories,review_count_user,average_stars,fans
QS_m_ymnK6WT-LMnnkF-jA,GU_4tHnCYE6aKGU2XH-zkA,UCMSWPqzXjd7QHq7v8PJjQ,4.0,0,0,0,"Tasty selection and very preppy! 

One cannot go wrong with the What's Up Doc omelet. One complaint with the omelets is the actual size, they seem to fluctuate. Clearly a difference in 4-5 extra bits worth of omelet. 

If you have a sweet tooth, any of french toasts are great! Fancy Breakfast Sandwich is great! I substituted the prosciutto with bacon and got great results! Great mimosas!",2015-11-18 20:39:24,Prep & Pastry,Tucson,AZ,4.5,2126,"Restaurants, Cocktail Bars, Bars, Comfort Food, American (New), Sandwiches, Nightlife, Breakfast & Brunch",15,3.33,0
S31KpJsHYnBX9Qv5qG1LJA,aAf7ZX3xU4ciPSs-yMFZGA,w5DsFKVqKcKXm509vjinqw,1.0,2,0,0,"Never been to this location before, never had a problem with any other location. It was almost full but there were a handful of tables open. We began to seat ourselves and was told we could sit anywhere. They came and took our drink order pretty quickly and we received them within a few minutes, the girl who delivered our drinks said they would be back to take our order.  I'd say it was almost 10 minutes before they finally came and took out order. I started to wonder who our waitress was because 2 different females took the drink order and delivered them. Finally, one of the females came and took our order, so we must have been there for 15 minutes at least before our food order was taken. 10 minutes had gone by and a lady got sat in the booth next to us. Another 10 minutes later, she got her food before we did. So she got there after us, ordered after us, but received hers before us. Our waitress refilled my husband's coffee twice the whole time and she asked if I wanted a refill on my soda, I shook my head no and she could tell we were wondering where our food was, she says your food is almost ready, the kitchen is overwhelmed right now. But there was only maybe one new customer that came in since we had been there. I told my husband if we didn't get our food in the next 5 minutes, we would just leave.  So, 40 minutes and no food, we walked to the register and asked if we could pay for our beverages and our waitress said our food was almost ready. I said that we didn't want to wait anymore and she said we didn't have to pay for our drinks and we left. No apology, nothing. Im thinking either our waitress forgot to enter our order, or, the 3 cooks in the kitchen just wasn't concerned about how fast the food was being cooked. They did not look flustered, so I honestly don't know what the issue was. Won't be returning. Waste of our time.",2015-04-01 21:09:58,Jerry Bobs,Tucson,AZ,2.5,37,"Restaurants, American (New)",2,3.0,0
yRJkUOmrNhpOOn0-FgnqCQ,w8xOsHgh3xi4pHKO1Fs5Dw,jmwasbZfgj3honf79qKsnA,1.0,0,0,0,"Cashier was trying to put a beer on my to go order and I did not get the fish taco I ordered.

They have nice setting and the establishment seems to be fairly nice, it has got tvs, a bar, a number of tables in various sizes, and a downtown street patio complete with fire heaters for cold nights.

I had the sonoran dog and received two beef tacos that I did not ask for.  The tacos has scraps of beef with cilantro and onion.  They also have the regular styled tacos with tomatoes and lettuce.  The dog was the last one sitting the bin and a bit soggy.  Compared to truck dogs, it does not compare.  The tacos were simply bits of beef with onion and cilantro, nothing impressive and nothing like what is seen in the pictures.

Perhaps, my disappointing experience was due to how the place was packed, had a line out the door by the time I left, and was somewhat loud, but that is no excuse for the terrible eating experience.  They were starting to run out of the beef and dog that I ordered when I got in at the end of a fairly short line, i would hate to think how much worst if I came in a bit later for the dinner rush.",2016-12-04 02:31:22,Street- Taco and Beer Co.,Tucson,AZ,4.5,805,"Mexican, Bars, Restaurants, Nightlife",32,2.84,0
d-fLREorT830s70gy_NKOA,5l4d8Ul81LRwAB1RdP4GBA,ERl6OCSEIFBOqfjai_jIUg,1.0,3,1,0,"After coming here for many years, I was very disappointed by my last trip. The one place you never cut corners is in the food, and that's exactly what they did. 2 of the 3 salsas were so watery that you didn't get any tomatillo or tomato on your chip, at all. The third salsa, the pics de gallo, was the worst chop job I've ever seen in a restaurant. Huge pieces of Serrano pepper with varying sizes of everything else, and in stark contrast to the other 2, completely dried out. 

Without even looking at the menu, I know what I want... #15. That decision hasn't changed for over 10 years. Today I should have made a different choice. I'm not sure if they recently went thru a purveyor change but the quality of everything on the plate was horrible. 

I used to love the rice, it changed. I used to love the chicken quesadilla, now it's flavorless and covered in 2 lbs of cheese for 1/2 a breast.

Please go back to your old ways and cut costs elsewhere, other than the food.",2016-03-07 02:42:54,La Parrilla Suiza,Tucson,AZ,3.0,125,"Restaurants, Mexican",29,3.17,1
3JPkxBo5HZBqsEfkNALKhg,d_fc9n5mQFFdoUxrOSeMAQ,Wd9JBLjCCh5yTF0vPAxCAA,4.0,1,0,0,"We found ourselves in South Tucson needing a good meal from somewhere other than the kitchens of the chain hotels surrounding the airport.  Thank you Yelpers for delivering another great place!

A reconverted 1960's era A & W chain fast food stand [I can detect those old bone shards still!], we enjoyed a wonderful meal at a reasonable price.

I had the catfish smothered in poblano sauce and melted cheese.  They told me it was farm catfish but it tasted like the catfish I used to catch out of a lake near my house as a little kid.  Farm fish never tastes this real.

My wife had chile relleno - fresh peppers, not surprising this time of year but definite kudos to the chef.

The late-stage adolescents with us enjoyed their enhiladas and chimichangas too.",2012-02-01 21:42:46,El Merendero,Tucson,AZ,4.0,202,"Mexican, Restaurants",111,4.02,11
o0RrxYEdVcKZtYKAEJCUNA,CJ1qOThxVs_V6VTYRL4Eaw,UCMSWPqzXjd7QHq7v8PJjQ,5.0,0,0,0,"If you want to eat at Prep & Pastry on the weekends, go right when it opens or before it closes. There is always a long wait because of how busy it gets - but the wait is always worth it. The food there is absolutely amazing. I go there often and love the green eggs & ham, bloody marys, and mimosas! They gave me a free pastry on my birthday once, it was delicious! I wish I remembered what it was called. 

I also love that they serve EXO coffee here (a local coffee) - nothing better than a great breakfast with great coffee to go with it!",2016-01-04 18:36:01,Prep & Pastry,Tucson,AZ,4.5,2126,"Restaurants, Cocktail Bars, Bars, Comfort Food, American (New), Sandwiches, Nightlife, Breakfast & Brunch",31,3.65,0
UzY0Z5Mb-ynGtwdAjCygAQ,4-A1SpF3lN-bXP_e54gAew,jmwasbZfgj3honf79qKsnA,5.0,0,0,0,"Top notch street tacos, great service and hand made horchata made this a top notch stop",2018-03-15 20:36:09,Street- Taco and Beer Co.,Tucson,AZ,4.5,805,"Mexican, Bars, Restaurants, Nightlife",35,4.26,0
xnA_bGa4zJ7fLUPTOCT0-A,nabJKapjKahYfTtnBDG6JQ,f82dhKNiUXsDVPMLqKYiIQ,4.0,1,0,0,"One of my most favorite Indian restaurants. Nothing fancy but absolutely delicious meals.

Never an issue being seated promptly. A casual dining experience awaits. Service is pleasant. Ambience a bit blahh but still enjoyable.

Now onto the real reason to come here... the FOOD:
Naan is soft. Garlic is tasty but I usually like the original best.  Regardless of your entree of choice, you really cannot go wrong. And although it does not appeal to my level of spiciness preferred (I like it HOT HOT HOT), it has great flavor and is great for the average spicey food eater. My recommendations are the Masala or Vindaloo (Chicken, Shrimp, Lamb... option is yours). Room for dessert? Order the Rice Pudding  and Gulab Jaman, mix together and enjoy the creamy sugary treat.",2011-04-22 02:02:10,Sher-e-Punjab,Tucson,AZ,4.0,446,"Restaurants, Salad, Pakistani, Indian, Cocktail Bars, Food, Food Delivery Services, Soup, Halal, Bars, Nightlife",657,3.93,98
HcYulXMN_jgausdUXNhBSA,J0HY6uvoRL2Rh7bc8mvfqA,3StNEgKAwpCFR1q0urmJrw,5.0,1,0,0,"After hearing about this place from a fellow Yelp Elite, my SO and I decided to try this place! We were warned of possible waiting times so came here on a Saturday around 10:45, and a line was already forming! 

For apps, we ordered the takoyaki and fried octopus. The takoyaki are delicious-an order comes with 5 balls that were perfectly cooked and topped with sauces. Takoyaki are little circular doughs with squid in the middle, topped with sauces and squid flakes (?). I definitely recommend this app. As for the fried octopus, it was just fried without sauces on top and came with mayo on the side, but it didn't come with enough mayo to dip the octopus in.

For ramen, I got the red spicy tonkotsu ramen and my SO got the black garlic tonkotsu ramen. For both ramen, the thin noodles were mushy/overcooked and just didn't quite fit with the ramen. That was the flaw with the dishes, and it tasted like the noodles were overcooked in a pot of flour-y water so it wasn't as clean (which explains the mushy feeling). They should use more bouncy noodles for this.

Now let's talk about the broth. The broth is flavorful, but the red chili broth was a bit too spicy for me and covered up the depth of the broth. I prefer the black garlic tonkotsu broth for that reason.

Overall, delicious food and pricing is reasonable. The decor is very nice as well, but screaming kids that were running around didn't make our meal pleasant.",2018-02-24 19:10:30,Raijin Ramen,Tucson,AZ,4.0,594,"Noodles, Japanese, Diners, Restaurants, Ramen",306,4.21,44
PiitKajcio34HCc6qMDRZw,Dx_YWaJx1qJ-YSG9z2NyEQ,SKgD0jRWVKk3NqOtSs3VFA,5.0,1,0,0,"If I could give this place 6 stars I would. Don't let the looks deceive you, great diner food. Biscuits and gravy were incredible. Portions were more than I could eat.",2017-09-09 15:53:00,Jerry Bob's On Broadway,Tucson,AZ,3.5,55,"Restaurants, Breakfast & Brunch, American (Traditional), Diners, Salad",22,3.74,0
f-nEhqmA4qIfkOUF8i_kwQ,j3Ni3vOJwlM1yPUYY2mnUw,K1r1fGmCbrmC_V6Aj22Zew,5.0,1,2,0,"You need a Cinnamon Roll from the bake house.  You probably need two; life would have just a little less happiness and light without their Cinnamon Rolls.
The coffee and salads are also excellent, a lovely Saturday morning breakfast treat.",2014-04-01 02:30:48,Village Bakehouse,Tucson,AZ,4.0,296,"Bakeries, Restaurants, Food, Breakfast & Brunch, Sandwiches",3,3.67,0
u7NNL4ur-IzQ6j8DlUnW9w,yrjT7IchufcYeN5RZJjxyw,cXAKeC-EgVChIxhS7fscmw,3.0,1,0,0,"Great breakfast fare and all. Eggs provençale was pretty good; all kinds of herbs and seasonings, but cooked inconsistently. Tomato on the side was awesome.

Omelets were executed well, and the pastries were pretty impressive.

But the coffee was horrendously bad. And without good coffee, what's the point of breakfast?

And I still can't trust restaurants that have misspellings on their menus. Even if the misspelling is from another language.",2011-01-08 22:41:45,Ghini's French Caffe,Tucson,AZ,3.5,427,"Restaurants, Food, Breakfast & Brunch, Sandwiches, French, Bakeries, Salad",95,3.79,9
hmvMrL2ARumNmYXqe8IdDA,N6ZTMIue-2b30CJv2tyPGg,U3aNQ5DsABPYyJQolsCbJg,4.0,5,5,3,"Good, but expensive. 

We both had steak, and it was pretty darn good. 

The guacamole is nothing special. Yes, it gets made in front of you, but it gets made wrong in my opinion.",2016-07-14 21:18:41,Charro Steak & Del Rey,Tucson,AZ,4.0,589,"Diners, Restaurants, Steakhouses, Mexican",513,3.49,29
qpSzt2U1bOz7V3tBeovMSg,V4NrfAH-lHlbAUUZ7nTVCQ,B10mqANgHvL8gBteo1UhAA,1.0,2,0,0,"The worst Italian food I have ever tasted!!! I'm far from Italian, but I can make a MEAN lasagna & spaghetti myself compared to this place. 1st of all, we waited 45mins patiently w/ a hungry Hubby, 2yr old, 7yr old, & myself. When we finally got seated, the waitress was very polite, but forgetful at times. Didnt drink any alcohol or sodas but the lemonade was very tart & the garlic bread was not-so-fresh...had to request for some fresh bread after my family devoured the 1st basket from starving & waiting for so long. I ordered the stuffed shells & chicken parmagiana. The salad was very tasty; however, they only have Italian dressing...no ranch or anything else. I am not a picky eater & rarely complain, but the stuffed shells & parmagiana chicken tasted HORRIBLE!! The chicken was very bland & the stuffed shells were hard & overbaked. The meranera sauce tasted like it was old or aged too long (if there's ever such a thing, lol). I could not bring myself to eat my entree. I had to send it back. I heard the lady at the table next to ours say the salmon was good, so I figured the salmon might be safe. It was actually very good! I was still very disappointed after this restaurant was referred to me by many. I felt like they got an easy $50 bucks out of me. I would have rathered gone to the olive garden or macaroni grill. If u r looking for an awesome authentic Italian cusine restaurant in Tucson, I highly recommend Contessa off of Ina Rd. The only reason we didn't go there is b/c it was out of the way from where we were going.  It's pretty far from where we live but always worth the drive. Everything is freshly made & u can definite tell the difference! I'm sorry Caruso, but I don't think my family will be coming here ever again!",2010-03-14 07:27:30,Caruso's,Tucson,AZ,3.5,381,"Restaurants, Italian, Pizza",42,3.16,2
iFRIf-_U8cIW0rC5tMBmMA,Ys_kEuS_EBAJB_NGlSA0fg,tP8wd-9CrI_RkHK424oifQ,1.0,2,0,0,They call a chicken salad sandwich two cubes of chicken with mayo in it and a salad with a salad that is a bowl Of lettuce a salad? Hmm left here hungry....,2013-01-27 23:05:05,Panera Bread,Tucson,AZ,3.0,128,"Sandwiches, Bakeries, Restaurants, Soup, Salad, Cafes, Food",194,3.14,11
R2Y03WADbaIC9cfFAeKIqw,090bboqx91RsrxphS33aRw,b0syqzR1F-EmprvTVs23ng,4.0,1,0,0,"I love their breakfast burritos. I usually get bacon, egg, cheese and potatoes. The potatoes are  well seasoned and cut small, so you don't end up getting a burrito that is about 95% full of overdone, mushy potatoes. You can actually taste the eggs, bacon and potatoes. Could use a bit more cheese, but that's a minor complaint. Nice selection of salsas at the salsa bar and the staff has always been friendly and welcoming. Very glad that they are located about a mile from my house! Hopefully they will be here for a long time.",2016-02-24 04:47:56,Angela's Mexican Food,Tucson,AZ,3.5,70,"Restaurants, Mexican",59,2.82,0
JoW8S4vj4E0ixe4aE5jPwA,0fl2SiblZfTyxtuWgllrFQ,SbdL-8NSmTWgSwdGZBa7WQ,5.0,0,0,0,"I'm still new to Tucson, but having tried a large sample of the various pizza places near the U of A, I have to say that this is the best so far. 

In fact I'd say it's the best I've ever had. Better than the places I tried in NYC even. The crust is just magical. The five alarm (which I tried) is the perfect amount of spicy for those of us who crave that extra spicyness in our food. 

If you decide to try it, I doubt you'll be disappointed.",2015-01-18 21:38:36,Fresco Pizzeria,Tucson,AZ,4.0,240,"Food, Food Delivery Services, Salad, Italian, Pizza, Restaurants",15,4.13,0
aTs0h9cWRywc0WcilZGlvA,iGY0x_YgFcewnJl0aJBuYA,LDkD5R5N7CG9yCD0YSLMZA,5.0,2,0,0,"Mae's is the best Chinese restaurant on this east side. We tried Mae's due to some rude pricks across the street. Lol! But, luckily things happen for a reason. The environment, the decor, the air inside is so much better to start. The food taste so much more fresher, like it was not frozen or reheated. No greasy/oily after taste. The service is very good,  always right there when you need something, staff is very friendly. My family and I love Mae's and what makes it better are the prices. We're large family and we can do really well with just $60. Lunch specials are awesome! I encourage you to try Mae's.",2015-11-06 13:48:01,Mae's Chinese Restaurant,Tucson,AZ,4.0,66,"Chinese, Restaurants",6,2.29,0
dPEZDjlpapiVYcQh1X7pbA,xwvTkL25NYtOMisZP798eg,lEOxwatxwXaCi8lPUTFKRQ,5.0,1,0,1,This place is a hidden gem on the Westside of Tucson. Great food at a reasonable price. I highly recommend the the Indian taco and their sweet fry bread in delicious. They also have daily specials like my favorite $1 tacos on Tuesday and Fridays. I eat here at least once a week.,2017-03-03 19:52:48,Indian Frybread-Manna From Heaven,Tucson,AZ,4.5,84,"Restaurants, Mexican, American (Traditional), Indian, Food",3,5.0,0
jIqlS4Be8KB9LxKMvBF2gQ,lbj1atSiHxGFrzN9WAeynw,UCMSWPqzXjd7QHq7v8PJjQ,5.0,0,0,0,"Great food and good coffee. Wish they had more of an espresso bar with coffee options, but food and baked goods are spectacular!",2017-10-25 02:19:24,Prep & Pastry,Tucson,AZ,4.5,2126,"Restaurants, Cocktail Bars, Bars, Comfort Food, American (New), Sandwiches, Nightlife, Breakfast & Brunch",29,4.0,0
BThO72XIzj6tf2hRkavttw,DVaXl3U52I92HuQsw0eCqw,L5LW_wN6Z0JV_vKe2jnsBw,1.0,0,0,0,"My order was 75% wrong and when I got home to divvy out the food I had ordered, items were missing including a burger",2017-07-15 21:52:02,Wendy's,Tucson,AZ,2.0,21,"Fast Food, Burgers, Restaurants",1,1.0,0
h9Ux8Voooiju5eBC62nqDA,TcNH2rLDA8AiBZo8HcTtHQ,a7ZmzKZRhVjKaJBZ7zIGzg,1.0,5,1,0,"This restaurant is seriously lacking in customer service!  We have dined many times at Dish.  We like the food.  We made a reservation two weeks ahead for 3 people.  When we arrived we were seated at the smallest table in the restaurant which barely fits two people.  The table next to us had an extra person added at the end, his back was literally a couple of inches from our table.  We asked for a table that would accomdate three people and not involve eating with someone's large back at our very tiny table.  We were rudely informed that it was a take or leave it situation.  It was very frustrating since we booked this as a special night out weeks earlier.  Unfortunately, we are writing this restraurant off our list.",2011-05-27 21:44:25,The Dish Bistro,Tucson,AZ,4.0,69,"Beer, Wine & Spirits, Arts & Entertainment, Wineries, Restaurants, American (New), Food",7,2.67,1
aUrGmiXwTec4Eh-rvxZ8JA,4DCP3YbVETDbPsGtp1_bSw,jmwasbZfgj3honf79qKsnA,2.0,0,0,0,Poor lighting very dark can't even see your food all the food was average. Sorry I really wanted to like it more.,2018-09-14 02:38:47,Street- Taco and Beer Co.,Tucson,AZ,4.5,805,"Mexican, Bars, Restaurants, Nightlife",43,3.66,0
6CmwVgKWdNZHtNWAXUVPzw,K4myo2_Z_2KKdORpfdKoTQ,UCMSWPqzXjd7QHq7v8PJjQ,5.0,0,0,0,"Had the chicken and French toast and it was over the top!
While it would do some good to have more shade on the patio it was still an enjoyable experience. They are pet friendly too!
We will be back!",2014-04-19 17:26:07,Prep & Pastry,Tucson,AZ,4.5,2126,"Restaurants, Cocktail Bars, Bars, Comfort Food, American (New), Sandwiches, Nightlife, Breakfast & Brunch",13,3.85,0
IIVwcQRXNfHLJTx6MBdl8A,a6jqAsvBRT2mCkLhNjEY2g,UCMSWPqzXjd7QHq7v8PJjQ,5.0,1,0,1,"This was a great place to have brunch with the family. It is very clean and the staff were great. I love the decor!! Plus, my four year old actually ate here!!! That is a HUGE deal. He doesn't like anything.",2015-05-26 18:10:02,Prep & Pastry,Tucson,AZ,4.5,2126,"Restaurants, Cocktail Bars, Bars, Comfort Food, American (New), Sandwiches, Nightlife, Breakfast & Brunch",62,3.4,8
VZ2Vxu8qSTHLVmLSQxUqqg,bUUPVJ7l6vWSvZV1W8G8Bw,-y5vYOsyL4bSFxeOtQtYbg,4.0,0,0,0,"Came late Friday night for a bite to eat. Much of the soup, hot takeaway were cleaned up. Settled for an individual pizza to share. Crust was too thick, but we could debate pies until the cows come home. Wandered the store while it was baking and found Scharffenberger chocolate! Pie may not be up to our standard but the chocolate hit the spot. At 8pm at night, the staff was exhausted",2017-09-09 03:15:00,AJ's Fine Foods,Tucson,AZ,4.0,258,"Delis, Bakeries, Food, Grocery, Restaurants",120,3.91,1
p4__rcaNmQgh9D6x_rxi9g,1yXp7EkfmcxXOomfHxTu-g,B10mqANgHvL8gBteo1UhAA,2.0,2,0,0,"The service was great and the restaurant was clean, but the food was just okay. We had the linguine with marinara and the rotini primavera. The linguine was fine. The primavera, however, is not something anyone should order!!! The sauce had a great flavor, but the vegetables were actually from frozen. I mean, literally from FROZEN. Go to your local grocery store, look at the bag of Bird's Eye mixed vegetables and you will see what they use... right down to the ruffle cut carrots. There is so much wonderful fresh produce in Tucson, there is absolutely no reason to ever use gross frozen vegetables.",2011-09-25 20:28:29,Caruso's,Tucson,AZ,3.5,381,"Restaurants, Italian, Pizza",66,3.71,1
AySNiP2U_b7UJipXSfVhTA,PKjtm1sG9AP-h-CR1ywA_g,GlYN-RJyL_YwxIqsSDo1ag,5.0,3,0,2,"I was just passing through Tuscon. Native American inspired breakfast food? I just had to have some :-).  Basically I ended up with amazing and unique food that I wish I could have everyday! Five stars!

It took me while to decide what I wanted because there was so many things I wanted. 

Finally, I ended up with the pueblo, which basically is the green corn waffle with eggs the way you want it and a choice of a side (I got chorizo). The waiter told me how to eat it: put the syrup + hot sauce on the waffle and enjoy. But, instead, I ended up making an awesome syrup, hot sauce, egg, chorizo and red sauce tower on my waffle for each bite. It was delicious - try it!!!",2014-03-15 03:45:13,Mother Hubbard's Café,Tucson,AZ,3.5,250,"Diners, American (Traditional), Restaurants, Breakfast & Brunch, American (New), Waffles, Cafes",19,4.21,0
roFXavbuo62FLhoC-aYk0g,sfd19Wo_7g2TwaoJmA9B8A,V9XlikTxq0My4gE8LULsjw,1.0,2,0,0,Wait staff was pleasant but food took forever even though it wasn't remotely busy. Burger bun too soggy .....fries have a funky dust on them. Everything was super salty or greasy.   What is all the hype about?   Not cheap either.  Terrible.  Stay away.  Seriously.   BTW.  Two hours later and my husband and I are both feeling queasy. Thank goodness for Alka Seltzer,2018-09-03 05:27:10,Claim Jumper Steakhouse & Bar,Tucson,AZ,2.5,325,"Restaurants, Nightlife, Seafood, Steakhouses, American (Traditional), Bars",22,3.09,0
tve5dngx_pz-QBIc1BAVHw,P-7VidyXqOGd6zBnT85pDA,RhuYqAT45uIR2NNdDsolXQ,5.0,0,0,0,"One of my favorite places in town. This is a hole in the wall and not a place that you come to sit and enjoy your meal. It's really best to take it away, because the dining area is usually a little dirty.
Family-owned and -run, there always seem to be the same people (and, sometimes, their kids) behind the counter.
I mainly come for the tamales, tortillas (voted Best of Tucson for a couple of years, and they include one with most combo meals) and flautas. Man, those flautas... They also have what I think is some of the best salsa in the city. Not too spicy, well-balanced, nice color, good consistency... like a fine wine. I'll usually save their salsa cups for use with other Mexican food that I get later.
If you like fake cheese nachos, then this is your place. But do yourself a favor and tell them to hold the onions because, otherwise, you'll find one has exploded in your container and it will take you two days to get the taste out of your mouth.
The best part about this place though is the price: cheap, cheap, cheap! Most of the combos run about $5 and include an entree, rice, beans, one tortilla and a couple of salsa cups. I usually make myself a little bean & rice burro when I'm done with the meal. Good stuff!
I'll only recommend this to some people, if I know that they won't be offended by what a sh*thole this place is. No, honestly, it's a really crappy building. But, if you can get past that, then you'll find the food to be great.",2009-05-21 14:19:14,St Mary's Mexican Food,Tucson,AZ,4.0,207,"Restaurants, Mexican",497,3.67,25
F4wCXjP75QIkrET2y5jNvA,EzGo52-RD6_ltIJgOWN1JA,xHdekRjTK93GR2AgtvrtgQ,4.0,0,0,0,"Was traveling through Tucson and came here for dinner with friends. Fun atmosphere, TV's showing Pac12 basketball - yay! Highlights of food we ordered - smoked french bread pizza (different and tasty) and cesaer salad (used whole romaine lettuce made good finger food way to eat salad). Beers on tap were good too.",2018-03-04 02:39:39,Growler's Taphouse,Tucson,AZ,3.5,149,"Beer, Wine & Spirits, Restaurants, Bars, Sports Bars, American (New), Food, Beer Bar, Music Venues, Nightlife, Arts & Entertainment",8,4.38,0
